"plan_name", "company","adult" ,"young_adult_age_25", "young_adult_age_24", "young_adult_age_23", "young_adult_age_22", "young_adult_age_21", "young_adult_age_20", "young_adult_age_19", "young_adult_age_18", "child_one", "child_two", "child_three", "child_four", "newborn","date"
"One Plan 500","Vhi","744.49","677.50","603.06","528.62","454.17","379.72","342.12","342.12","342.12","124.85","124.85","124.85","0","0","2016-12-31"
"One Plan Access (Plan A)","Vhi","939.34","836.83","738.32","647.18","556.02","464.87","338.94","338.94","338.94","137.99","137.99","137.99","0","0","2016-12-31"
"One Plan Access Plus (Plan A Option)","Vhi","987.8","880.93","769.72","674.7","579.67","484.65","352.02","352.02","352.02","137.99","137.99","137.99","0","0","2016-12-31"
"One Plan Complete","Vhi","1681.39","1512.10","1323.96","1135.82","947.68","767.64","559.14","559.14","559.14","164.65","164.65","164.65","0","0","2016-12-31"
"One Plan Extra","Vhi","1530.84","1375.10","1202.01","1028.93","855.86","706.22","517.81","517.81","517.81","164.65","164.65","164.65","0","0","2016-12-31"
"One Plan Sport","Vhi","1177.92","1053.94","916.15","782.69","672.45","562.22","588.95","588.95","588.95","275.58","275.58","275.58","0","0","2016-12-31"
"One Plan Starter","Vhi","561.17","510.69","454.58","398.46","342.34","286.22","265.77","265.77","265.77","107.1","107.1","107.1","0","0","2016-12-31"
"One Plan Starter Day 2 Day","Vhi","673.18","612.62","545.3","477.98","410.66","343.34","336.46","336.46","336.46","142.41","142.41","142.41","0","0","2016-12-31"
"PMI 05 11","Vhi","1642.49","1476.68","1292.44","1108.18","923.93","751.74","556.38","556.38","556.38","516.68","516.68","516.68","0","0","2017-01-01"
"PMI 21 11","Vhi","1348.71","1209.34","1054.48","899.6","755.78","631.89","445.2","445.2","445.2","445.2","445.2","445.2","0","0","2017-01-01"
"PMI 22 11","Vhi","1592.81","1431.47","1252.19","1072.92","893.62","731.48","526.28","526.28","526.28","526.28","526.28","526.28","0","0","2017-01-01"
"PMI 23 11","Vhi","1850.16","1665.65","1460.64","1255.62","1050.61","845.59","658.2","658.2","658.2","580.94","580.94","580.94","0","0","2017-01-01"
"PMI 25 11","Vhi","1586.06","1425.34","1246.72","1068.12","889.51","728.72","521.25","521.25","521.25","504.07","504.07","504.07","0","0","2017-01-01"
"PMI 35 13","Vhi","1303.36","1168.06","1017.73","867.39","733.64","613.38","453.12","453.12","453.12","330.07","330.07","330.07","0","0","2017-01-01"
"PMI 36 13","Vhi","1349.23","1209.81","1054.89","899.96","756.03","632.09","527.91","527.91","527.91","379.08","379.08","379.08","0","0","2017-01-01"
"PMI 37 13","Vhi","1193.78","1068.36","928.98","791.69","680.18","568.69","498.56","498.56","498.56","373.46","373.46","373.46","0","0","2017-01-01"
"PMI 39 15","Vhi","1273.01","1140.45","993.16","845.85","718.84","600.99","444.48","444.48","444.48","413.57","413.57","413.57","0","0","2017-01-01"
"Company Plan Extra Level 1","Vhi","1703.71","1532.41","1342.04","1151.67","961.3","776.74","566.78","566.78","566.78","429.37","429.37","429.37","0","0","2017-01-01"
"Company Plan Plus Level 1.3","Vhi","1198.23","1072.42","932.6","794.21","682.37","570.5","459.29","459.29","459.29","336.42","336.42","336.42","0","0","2017-01-01"
"PMI 05 11","Vhi","1770.46","1593.13","1396.09","1199.05","1001.99","804.95","601.97","601.97","601.97","464.45","464.45","464.45","464.45","0","2019-01-01"
"PMI 40 15","Vhi","1049.74","937.28","812.3","709.86","609.89","509.9","365.6","365.6","365.6","319.6","319.6","319.6","319.6","0","2019-01-01"
"PMI 41 15","Vhi","1317.3","1180.76","1029.03","877.3","740.46","619.07","460.19","460.19","460.19","341.1","341.1","341.1","341.1","0","2019-01-01"
"PMI 42 15","Vhi","1711.42","1539.41","1348.26","1157.12","965.98","779.88","571.36","571.36","571.36","460.85","460.85","460.85","460.85","0","2019-01-01"
"PMI 43 16","Vhi","1226.45","1098.11","955.47","812.8","696.14","582.02","470.59","470.59","470.59","349.88","349.88","349.88","349.88","0","2019-01-01"
"PMI 45 10","Vhi","1237.83","1108.44","964.66","820.87","701.67","586.65","417.62","417.62","417.62","310.57","310.57","310.57","310.57","0","2019-01-01"
"PMI 46 10 ","Vhi","1328.64","1191.07","1038.21","885.34","745.98","623.7","450.31","450.31","450.31","330.18","330.18","330.18","330.18","0","2019-01-01"
"PMI 47 10 ","Vhi","1630.89","1466.12","1283.03","1099.94","916.85","747.02","559.12","559.12","559.12","395.47","395.47","395.47","395.47","0","2019-01-01"
"PMI 17 10 ","Vhi","1576.24","1416.40","1238.77","1061.14","883.52","724.71","517.84","517.84","517.84","405.56","405.56","405.56","405.56","0","2019-01-01"
"PMI 24 10 ","Vhi","1572.41","1412.94","1235.69","1058.47","881.22","723.18","520.05","520.05","520.05","346.62","346.62","346.62","346.62","0","2019-01-01"
"PMI 40 15","Vhi","1081.78","966.42","838.25","728.06","625.52","522.97","374.98","374.98","374.98","322.83","322.83","322.83","0","0","2017-01-02"
"PMI 41 15","Vhi","1356.2","1216.15","1060.53","904.91","759.43","634.94","474.55","474.55","474.55","348.06","348.06","348.06","0","0","2017-01-02"
"PMI 42 15","Vhi","1740.53","1565.89","1371.83","1177.78","983.73","791.74","581.58","581.58","581.58","523.15","523.15","523.15","0","0","2017-01-02"
"Company Plan","Vhi","982.75","876.31","766.42","671.81","577.18","482.57","346","346","346","317.25","317.25","317.25","0","0","2015-07-01"
"Company Plan Executive","Vhi","3400.5","3076.46","2716.41","2356.36","1996.31","1636.26","1039.25","1039.25","1039.25","1011.75","1011.75","1011.75","0","0","2015-07-01"
"Company Plan Executive Excess","Vhi","3075.75","2780.94","2453.36","2125.79","1798.21","1470.64","938.25","938.25","938.25","913.25","913.25","913.25","0","0","2015-07-01"
